bus_code,hour,scen,batStorage
1,1,1,0.19898447978867775
1,1,2,1.5041855006697746e-7
1,1,3,0.1990956828829359
1,1,4,0.11442184262363192
1,1,5,0.1143168465894984
1,1,6,0.1269428668083619
1,1,7,5.540769193457251e-8
1,1,8,0.20495695616887605
1,1,9,0.19891278631826276
1,1,10,0.2098689054384683
1,2,1,0.18955672235959456
1,2,2,0.0529866877476412
1,2,3,0.19421780321932539
1,2,4,0.13184207718839272
1,2,5,0.13072588507388772
1,2,6,0.15973143956537975
1,2,7,0.00164546405994559
1,2,8,0.19079237504881488
1,2,9,0.07238825910076614
1,2,10,0.22469165035009625
1,3,1,0.23835540817006168
1,3,2,0.009683257387764287
1,3,3,0.24305941619232327
1,3,4,0.1904887873001934
1,3,5,0.14434897675929842
1,3,6,0.18577548472170996
1,3,7,4.868373546436363e-7
1,3,8,0.18187546427415133
1,3,9,0.1210624753024733
1,3,10,0.29063414353589206
1,4,1,0.26878475358380205
1,4,2,0.004070238647183253
1,4,3,0.2247499134504117
1,4,4,0.18773340790462598
1,4,5,0.1480171516531136
1,4,6,0.1973384945556776
1,4,7,0.029580551436996134
1,4,8,0.18540927092600626
1,4,9,0.15132412897894382
1,4,10,0.2828396238964865
1,5,1,0.24768612918569627
1,5,2,3.922148992220831e-7
1,5,3,0.2079873821837665
1,5,4,0.18292322315000553
1,5,5,0.15306975594915367
1,5,6,0.21211497739506974
1,5,7,0.06184158045225005
1,5,8,0.18944802478099287
1,5,9,0.1556781310285343
1,5,10,0.3311798465644942
1,6,1,0.2619957879557833
1,6,2,0.013314429845225883
1,6,3,0.18031574261288422
1,6,4,0.20290580531202868
1,6,5,0.1460895632399422
1,6,6,0.20493405518745747
1,6,7,0.06078506338756065
1,6,8,0.21038323674715567
1,6,9,0.14921666469744935
1,6,10,0.35487370562077575
1,7,1,0.22820597760494252
1,7,2,0.023139695758547286
1,7,3,0.1910285433902537
1,7,4,0.2181843364391393
1,7,5,0.13721434980367989
1,7,6,0.22119136265823247
1,7,7,0.07062761849928015
1,7,8,0.19055657818195507
1,7,9,0.15972972269919286
1,7,10,0.3746900150111092
1,8,1,0.19631074320153125
1,8,2,0.016365666604704867
1,8,3,0.20504374257185956
1,8,4,0.2365569531901121
1,8,5,0.13013217757155224
1,8,6,0.24011949114723466
1,8,7,0.06948018397092089
1,8,8,0.21075168211874398
1,8,9,0.1735474540421093
1,8,10,0.3507032567754064
1,9,1,0.21221492960693197
1,9,2,0.010636782432485134
1,9,3,0.22087595819803313
1,9,4,0.21289560634986313
1,9,5,0.12400881865395583
1,9,6,0.2603617082947264
1,9,7,0.06988238003867255
1,9,8,0.2326871275989477
1,9,9,0.16801060566733236
1,9,10,0.3745864994994012
1,10,1,0.2281404234865657
1,10,2,0.004918468459141076
1,10,3,0.23673979448359758
1,10,4,0.23127957671608282
1,10,5,0.11789679895647422
1,10,6,0.24781845652691575
1,10,7,0.07030943777495677
1,10,8,0.2177420366432949
1,10,9,0.1624902958704604
1,10,10,0.3497638613280397
1,11,1,0.24543491099747988
1,11,2,2.3665081114767428e-6
1,11,3,0.21082213915570747
1,11,4,0.25100305888166424
1,11,5,0.11251478192735245
1,11,6,0.26664760175692986
1,11,7,0.07157894688345731
1,11,8,0.2048026841259492
1,11,9,0.15776204517823061
1,11,10,0.33021186702976796
1,12,1,0.2111054579972359
1,12,2,0.008938371171899197
1,12,3,0.18063287922386245
1,12,4,0.2599770404291987
1,12,5,0.10312310490021034
1,12,6,0.24830073010740328
1,12,7,0.06828837657926028
1,12,8,0.1810947889411285
1,12,9,0.14879367435268936
1,12,10,0.30481982933110596
1,13,1,0.17639574973244299
1,13,2,0.01721519524262042
1,13,3,0.15006442944047818
1,13,4,0.26748007318078126
1,13,5,0.093549991238096
1,13,6,0.25735868212919333
1,13,7,0.07655982308239656
1,13,8,0.15965001322575506
1,13,9,0.13944915122204207
1,13,10,0.270924673743531
1,14,1,0.18724516271838973
1,14,2,0.019716568887377998
1,14,3,0.12037730461790787
1,14,4,0.27636847412494964
1,14,5,0.08459853629633525
1,14,6,0.23595763522009847
1,14,7,0.07376421486561688
1,14,8,0.13815197963092773
1,14,9,0.13097746177579064
1,14,10,0.2332588514736321
1,15,1,0.1528516276786179
1,15,2,0.02854130186083559
1,15,3,0.09013112055004369
1,15,4,0.24312346100354104
1,15,5,0.0943831321388668
1,15,6,0.2439262427723375
1,15,7,0.07040407849768866
1,15,8,0.11421432114522147
1,15,9,0.12195169733992896
1,15,10,0.24154457429875736
1,16,1,0.16366137847659318
1,16,2,0.031008829905635617
1,16,3,0.06041601274128915
1,16,4,0.21276359692587551
1,16,5,0.08533329317152301
1,16,6,0.23304430575540724
1,16,7,0.06755225708889491
1,16,8,0.08783833680884678
1,16,9,0.1134543533339346
1,16,10,0.21212464627103403
1,17,1,0.17373797148390802
1,17,2,0.033060507257220845
1,17,3,0.030264874202962092
1,17,4,0.2224155634045935
1,17,5,0.07585693473073397
1,17,6,0.20412230897374492
1,17,7,0.07656056982140907
1,17,8,0.1046481895495317
1,17,9,0.10452518089344959
1,17,10,0.22670891061923196
1,18,1,0.1393181847759125
1,18,2,0.04186318385480982
1,18,3,1.065940434274479e-6
1,18,4,0.18998576413488438
1,18,5,0.06627355173940871
1,18,6,0.17932404847541122
1,18,7,0.07317818471731738
1,18,8,0.07746812179645854
1,18,9,0.09548518825341042
1,18,10,0.1886157477968921
1,19,1,0.09501939102030516
1,19,2,0.03347319327525711
1,19,3,0.007033191309065966
1,19,4,0.14633148095910292
1,19,5,0.04711899379793309
1,19,6,0.1647229025077496
1,19,7,0.06479109214088669
1,19,8,0.06286082303174023
1,19,9,0.08781073542280059
1,19,10,0.1663096161437323
1,20,1,0.08775386616744972
1,20,2,0.026103435328279058
1,20,3,0.014521069955505199
1,20,4,0.10249459698559446
1,20,5,0.03637570535577801
1,20,6,0.12520482124758303
1,20,7,0.05724226874116887
1,20,8,0.06566853470129963
1,20,9,0.06939452412001128
1,20,10,0.12237140779552376
