bus_code,hour,scen,deficit
1,1,1,2.2005383626400032e-12
1,1,2,2.2234748764393686e-12
1,1,3,2.1990326226628554e-12
1,1,4,2.191805764661936e-12
1,1,5,2.1821780493702647e-12
1,1,6,2.184183389708494e-12
1,1,7,2.2314962377922853e-12
1,1,8,2.20229043335074e-12
1,1,9,2.2058292692417325e-12
1,1,10,2.198602411240813e-12
1,2,1,2.2013328659920006e-12
1,2,2,2.213344091339664e-12
1,2,3,2.199584264728216e-12
1,2,4,2.184166042473734e-12
1,2,5,2.1943315220429582e-12
1,2,6,2.1831009222594844e-12
1,2,7,2.206099886103985e-12
1,2,8,2.202807380946581e-12
1,2,9,2.2086013573563434e-12
1,2,10,2.1988660892091616e-12
1,3,1,2.2023841084184426e-12
1,3,2,2.212365707299213e-12
1,3,3,2.2008228572900634e-12
1,3,4,2.198310977696849e-12
1,3,5,2.1993275256537714e-12
1,3,6,2.1825770357697394e-12
1,3,7,2.2075431760359976e-12
1,3,8,2.2027414614544938e-12
1,3,9,2.206991533970637e-12
1,3,10,2.1999138621886516e-12
1,4,1,2.202571458553848e-12
1,4,2,2.2113769149179063e-12
1,4,3,2.2009859212968053e-12
1,4,4,2.199049969897615e-12
1,4,5,2.2003163180350782e-12
1,4,6,2.198546900089582e-12
1,4,7,2.2069394922663577e-12
1,4,8,2.2026686030685028e-12
1,4,9,2.2061484583613122e-12
1,4,10,2.2002365207551833e-12
1,5,1,2.2025922752355598e-12
1,5,2,2.2099405638797975e-12
1,5,3,2.201530624468262e-12
1,5,4,2.2000595789606336e-12
1,5,5,2.2013328659920006e-12
1,5,6,2.2000075372563543e-12
1,5,7,2.20722745636337e-12
1,5,8,2.205555182932528e-12
1,5,9,2.2058604942643e-12
1,5,10,2.2012704159468655e-12
1,6,1,2.2052845660702758e-12
1,6,2,2.2099475027737014e-12
1,6,3,2.2047294545579632e-12
1,6,4,2.2014820522109346e-12
1,6,5,2.201589605066445e-12
1,6,6,2.2008089795022556e-12
1,6,7,2.207053984015772e-12
1,6,8,2.205929883203339e-12
1,6,9,2.206380911307093e-12
1,6,10,2.2036539260028576e-12
1,7,1,2.205409466160546e-12
1,7,2,2.2094374940717643e-12
1,7,3,2.2055447745916723e-12
1,7,4,2.2019434886555445e-12
1,7,5,2.2038690317138787e-12
1,7,6,2.201520216127406e-12
1,7,7,2.206981125629781e-12
1,7,8,2.206172744489976e-12
1,7,9,2.206478055821748e-12
1,7,10,2.203917603971206e-12
1,8,1,2.2056939608106063e-12
1,8,2,2.209152999421704e-12
1,8,3,2.2061102944448407e-12
1,8,4,2.2046149628085487e-12
1,8,5,2.20420903751517e-12
1,8,6,2.204150056916987e-12
1,8,7,2.2069603089480694e-12
1,8,8,2.206405197435757e-12
1,8,9,2.2065092808443154e-12
1,8,10,2.2039418900998697e-12
1,9,1,2.2059958026954263e-12
1,9,2,2.2086776851892864e-12
1,9,3,2.2064329530113724e-12
1,9,4,2.204895988011657e-12
1,9,5,2.204604554467693e-12
1,9,6,2.20451087939999e-12
1,9,7,2.2068562255395108e-12
1,9,8,2.2067486726840002e-12
1,9,9,2.2063705029662373e-12
1,9,10,2.204153526363939e-12
1,10,1,2.2062698890046306e-12
1,10,2,2.208348087728851e-12
1,10,3,2.206772958812664e-12
1,10,4,2.205340077221507e-12
1,10,5,2.204961907503744e-12
1,10,6,2.2047814962622425e-12
1,10,7,2.206915206137694e-12
1,10,8,2.206700100426673e-12
1,10,9,2.2064398919052763e-12
1,10,10,2.204219445856026e-12
1,11,1,2.2064398919052763e-12
1,11,2,2.2081329820178297e-12
1,11,3,2.2070331673340604e-12
1,11,4,2.205732124727078e-12
1,11,5,2.20527415772942e-12
1,11,6,2.2050833381470625e-12
1,11,7,2.2069429617133096e-12
1,11,8,2.2068111227291354e-12
1,11,9,2.206550914207739e-12
1,11,10,2.2043408764993444e-12
1,12,1,2.2064849947156517e-12
1,12,2,2.2079352235415683e-12
1,12,3,2.2071858229999464e-12
1,12,4,2.205947230438099e-12
1,12,5,2.2053782411379785e-12
1,12,6,2.205201299343429e-12
1,12,7,2.2068943894559823e-12
1,12,8,2.206835408857799e-12
1,12,9,2.2066307114876338e-12
1,12,10,2.204441490460951e-12
1,13,1,2.2066549976162975e-12
1,13,2,2.207744403959211e-12
1,13,3,2.2073870509231597e-12
1,13,4,2.2061276416796005e-12
1,13,5,2.205499671781297e-12
1,13,6,2.205419874501402e-12
