circuit_code,hour,scen,flow
1,1,1,0.06611126181475
1,1,2,0.06611088843025667
1,1,3,0.06611091785864795
1,1,4,0.06617940375269098
1,1,5,0.06611113391166301
1,1,6,0.06622470403785888
1,1,7,0.06611089619521138
1,1,8,0.06614357572594973
1,1,9,0.0661108945851656
1,1,10,0.06621529196701999
1,2,1,0.06611126171060967
1,2,2,0.0661108889754727
1,2,3,0.06611091784816572
1,2,4,0.06617946771482211
1,2,5,0.06611113392767402
1,2,6,0.0662245784378346
1,2,7,0.0661109009208188
1,2,8,0.0661435619582351
1,2,9,0.0661108945845072
1,2,10,0.06621514072092796
1,3,1,0.0661112617053369
1,3,2,0.0661108889642454
1,3,3,0.06611091784868751
1,3,4,0.06617949706669604
1,3,5,0.06611113392246203
1,3,6,0.06622464560774066
1,3,7,0.06611090092790299
1,3,8,0.06614355621243713
1,3,9,0.0661108945828337
1,3,10,0.06621514958388859
1,4,1,0.06611126169850576
1,4,2,0.06611088897046355
1,4,3,0.06611091784744019
1,4,4,0.06617951921848489
1,4,5,0.06611113392450514
1,4,6,0.06622469895299245
1,4,7,0.06611090169144664
1,4,8,0.06614355871655601
1,4,9,0.06611089458065858
1,4,10,0.06621514232480863
1,5,1,0.06611126164662279
1,5,2,0.06611088897222807
1,5,3,0.06611091784802045
1,5,4,0.06617951948107452
1,5,5,0.066111133953647
1,5,6,0.06622476467082297
1,5,7,0.06611090169730781
1,5,8,0.0661435588880276
1,5,9,0.06611089457465816
1,5,10,0.06621514944189581
1,6,1,0.06611126145819554
1,6,2,0.06611088914214465
1,6,3,0.06611091783550901
1,6,4,0.06617942787978925
1,6,5,0.06611113385839837
1,6,6,0.06622472530156703
1,6,7,0.06611090168930926
1,6,8,0.0661435271966521
1,6,9,0.0661108945678263
1,6,10,0.06621504984427612
1,7,1,0.06611126144484421
1,7,2,0.06611088915737752
1,7,3,0.06611091783843089
1,7,4,0.06617937823330723
1,7,5,0.0661111339144037
1,7,6,0.06622478348496115
1,7,7,0.06611090169937953
1,7,8,0.06614352694692312
1,7,9,0.06611089457023199
1,7,10,0.06621504820927439
1,8,1,0.06611126145462118
1,8,2,0.06611088916231049
1,8,3,0.06611091783321198
1,8,4,0.06617938766809651
1,8,5,0.06611113395219581
1,8,6,0.06622483831718654
1,8,7,0.0661109016947979
1,8,8,0.06614352848217918
1,8,9,0.06611089457100565
1,8,10,0.06621503348012821
1,9,1,0.06611126146175239
1,9,2,0.06611088916263226
1,9,3,0.06611091783341759
1,9,4,0.0661794012750269
1,9,5,0.06611113397460798
1,9,6,0.06622489591676882
1,9,7,0.06611090169467534
1,9,8,0.0661435256354489
1,9,9,0.06611089456809184
1,9,10,0.0662150383798135
1,10,1,0.06611126146691808
1,10,2,0.06611088916781521
1,10,3,0.06611091783610375
1,10,4,0.06617940895394805
1,10,5,0.06611113399930652
1,10,6,0.06622493463539826
1,10,7,0.06611090169496527
1,10,8,0.06614352824805503
1,10,9,0.06611089457329475
1,10,10,0.06621502864399958
1,11,1,0.06611126147879189
1,11,2,0.06611088916435369
1,11,3,0.06611091783801859
1,11,4,0.06617941623875932
1,11,5,0.06611113401638245
1,11,6,0.06622498061076798
1,11,7,0.06611090170091326
1,11,8,0.06614352836680835
1,11,9,0.06611089456915376
1,11,10,0.06621503438412403
1,12,1,0.06611126147340603
1,12,2,0.06611088920944311
1,12,3,0.06611091783641612
1,12,4,0.0661794233733252
1,12,5,0.06611113404677393
1,12,6,0.06622501934710434
1,12,7,0.0661109016966416
1,12,8,0.06614352902957284
1,12,9,0.06611089457220139
1,12,10,0.06621504468939254
1,13,1,0.06611126146803568
1,13,2,0.06611088921527535
1,13,3,0.06611091783652114
1,13,4,0.06617942736290704
1,13,5,0.06611113408736617
1,13,6,0.0662250534009944
1,13,7,0.0661109017037043
1,13,8,0.06614352981857742
1,13,9,0.0661108945726956
1,13,10,0.06621505952763257
1,14,1,0.06611126146632386
1,14,2,0.06611088921792264
1,14,3,0.06611091783714815
1,14,4,0.06617942807827074
1,14,5,0.06611113417800539
1,14,6,0.06622507936846987
1,14,7,0.06611090169801402
1,14,8,0.06614353202224524
1,14,9,0.06611089457326652
1,14,10,0.06621507633922788
1,15,1,0.06611126147577502
1,15,2,0.06611088922403469
1,15,3,0.06611091783684002
1,15,4,0.06617942784955838
1,15,5,0.06611113421809899
1,15,6,0.06622510825575043
1,15,7,0.06611090170100876
1,15,8,0.06614353369788756
1,15,9,0.0661108945731148
1,15,10,0.06621509648221749
1,16,1,0.06611126148758875
1,16,2,0.06611088922304886
1,16,3,0.06611091784138623
1,16,4,0.06617942850843134
1,16,5,0.0661111342569464
1,16,6,0.06622512615687297
1,16,7,0.06611090170684443
1,16,8,0.06614353648217167
1,16,9,0.06611089457432352
1,16,10,0.06621510547070153
1,17,1,0.06611126148847923
1,17,2,0.0661108892287207
1,17,3,0.06611091784342377
1,17,4,0.0661794372157158
1,17,5,0.06611113428171295
1,17,6,0.06622515441579983
1,17,7,0.0661109017059978
1,17,8,0.06614354145443346
1,17,9,0.06611089457958802
1,17,10,0.06621512329588229
1,18,1,0.06611126149619768
1,18,2,0.06611088922811051
1,18,3,0.06611091785109305
