bus_code,hour,scen,powerConsumption
1,1,1,0.020999999997799463
1,1,2,0.020999999997776526
1,1,3,0.02099999999780097
1,1,4,0.020999999997808196
1,1,5,0.020999999997817823
1,1,6,0.020999999997815818
1,1,7,0.020999999997768505
1,1,8,0.02099999999779771
1,1,9,0.020999999997794172
1,1,10,0.0209999999978014
1,2,1,0.02099999999779867
1,2,2,0.020999999997786657
1,2,3,0.020999999997800417
1,2,4,0.020999999997815835
1,2,5,0.02099999999780567
1,2,6,0.0209999999978169
1,2,7,0.0209999999977939
1,2,8,0.020999999997797194
1,2,9,0.0209999999977914
1,2,10,0.020999999997801135
1,3,1,0.020999999997797617
1,3,2,0.020999999997787636
1,3,3,0.02099999999779918
1,3,4,0.02099999999780169
1,3,5,0.020999999997800674
1,3,6,0.020999999997817424
1,3,7,0.020999999997792458
1,3,8,0.02099999999779726
1,3,9,0.02099999999779301
1,3,10,0.020999999997800087
1,4,1,0.02099999999779743
1,4,2,0.020999999997788624
1,4,3,0.020999999997799015
1,4,4,0.02099999999780095
1,4,5,0.020999999997799685
1,4,6,0.020999999997801454
1,4,7,0.020999999997793062
1,4,8,0.020999999997797333
1,4,9,0.020999999997793853
1,4,10,0.020999999997799765
1,5,1,0.02099999999779741
1,5,2,0.02099999999779006
1,5,3,0.02099999999779847
1,5,4,0.02099999999779994
1,5,5,0.02099999999779867
1,5,6,0.020999999997799994
1,5,7,0.020999999997792774
1,5,8,0.020999999997794446
1,5,9,0.02099999999779414
1,5,10,0.02099999999779873
1,6,1,0.020999999997794717
1,6,2,0.020999999997790054
1,6,3,0.020999999997795272
1,6,4,0.02099999999779852
1,6,5,0.02099999999779841
1,6,6,0.020999999997799192
1,6,7,0.020999999997792947
1,6,8,0.02099999999779407
1,6,9,0.02099999999779362
1,6,10,0.020999999997796347
1,7,1,0.020999999997794592
1,7,2,0.020999999997790564
1,7,3,0.020999999997794457
1,7,4,0.020999999997798058
1,7,5,0.020999999997796132
1,7,6,0.02099999999779848
1,7,7,0.02099999999779302
1,7,8,0.02099999999779383
1,7,9,0.020999999997793523
1,7,10,0.020999999997796084
1,8,1,0.020999999997794307
1,8,2,0.02099999999779085
1,8,3,0.02099999999779389
1,8,4,0.020999999997795386
1,8,5,0.020999999997795792
1,8,6,0.02099999999779585
1,8,7,0.02099999999779304
1,8,8,0.020999999997793596
1,8,9,0.020999999997793492
1,8,10,0.02099999999779606
1,9,1,0.020999999997794006
1,9,2,0.020999999997791324
1,9,3,0.02099999999779357
1,9,4,0.020999999997795105
1,9,5,0.020999999997795397
1,9,6,0.02099999999779549
1,9,7,0.020999999997793145
1,9,8,0.020999999997793253
1,9,9,0.02099999999779363
1,9,10,0.020999999997795848
1,10,1,0.02099999999779373
1,10,2,0.020999999997791653
1,10,3,0.02099999999779323
1,10,4,0.02099999999779466
1,10,5,0.02099999999779504
1,10,6,0.02099999999779522
1,10,7,0.020999999997793086
1,10,8,0.0209999999977933
1,10,9,0.02099999999779356
