bus_code,hour,scen,batStorage
1,1,1,0.02528102624670956
1,1,2,0.0268581453638011
1,1,3,0.028287573370606774
1,1,4,0.027174517550238725
1,1,5,0.0276701532375731
1,1,6,0.02691196136475111
1,1,7,0.025795174306784695
1,1,8,0.01722410325487074
1,1,9,0.017738623093581422
1,1,10,0.02614874169751385
1,2,1,0.018197523022626116
1,2,2,0.02135234650934495
1,2,3,0.023983830900362695
1,2,4,0.021985016894392122
1,2,5,0.02297591666540071
1,2,6,0.02145962657313186
1,2,7,0.019225885368544297
1,2,8,0.03020843252937552
1,2,9,0.007694051819068756
1,2,10,0.01993318564017386
1,3,1,0.006668524513658115
1,3,2,0.011404508641129053
1,3,3,0.01523854830600646
1,3,4,0.012352916490824086
1,3,5,0.011479819131057082
1,3,6,0.01302604886786698
1,3,7,0.008211145493675633
1,3,8,0.016747009830193907
1,3,9,0.03054164372645695
1,3,10,0.009273215410430595
1,4,1,0.0011286105240500125
1,4,2,0.004962183089347608
1,4,3,0.00999786515906877
1,4,4,0.0062263105138509155
1,4,5,0.0032217759622059157
1,4,6,0.003994284218809857
1,4,7,0.0007040809655361621
1,4,8,0.028213264612574975
1,4,9,0.03179999864219449
1,4,10,0.0021197349665044865
1,5,1,0.0006172366988710501
1,5,2,0.00355035959792178
1,5,3,0.00977075743077841
1,5,4,0.005130270564631044
1,5,5,3.4937630565196905e-7
1,5,6,1.784748715922647e-8
1,5,7,1.6597241190447514e-9
1,5,8,0.016966487157773935
1,5,9,0.03179999913909392
1,5,10,7.110337426817752e-8
1,6,1,0.003794161673941852
1,6,2,0.00592021778278085
1,6,3,0.013257451094785155
1,6,4,0.008627599960578566
1,6,5,2.4608593459244576e-8
1,6,6,7.091096546239873e-9
1,6,7,4.173460896748069e-9
1,6,8,0.015412009054290117
1,6,9,0.017815359601468357
1,6,10,3.474032551988751e-7
1,7,1,0.014587493867461764
1,7,2,0.014311411473402957
1,7,3,0.019315936615265573
1,7,4,0.015537812483324634
1,7,5,2.0230214201947097e-9
1,7,6,0.003867395548310438
1,7,7,0.011420583058243406
1,7,8,0.0005068578985645386
1,7,9,0.005921773380353928
1,7,10,0.008895538422684424
1,8,1,0.03179998531562425
1,8,2,0.0317999998466668
1,8,3,0.03179997279866468
1,8,4,0.031799972140256955
1,8,5,0.006719537555655952
1,8,6,0.015700324449258306
1,8,7,0.03179999822845206
1,8,8,0.02869432956170629
1,8,9,3.891660464089504e-11
1,8,10,0.03179999792515671
1,9,1,2.5088410339269863e-10
1,9,2,5.247786519912206e-10
1,9,3,2.7662519665841793e-10
1,9,4,2.7609893221119336e-10
1,9,5,2.4147080959792124e-10
1,9,6,5.506161919945697e-10
1,9,7,6.195708020743194e-10
1,9,8,0.03179999992518111
1,9,9,0.03179999994648804
1,9,10,4.52115446082182e-9
1,10,1,2.8810987975234857e-9
1,10,2,3.5173556927745053e-10
1,10,3,0.0004078678564028432
1,10,4,8.68564921900976e-9
1,10,5,7.125763053647927e-9
1,10,6,5.12879608449931e-10
1,10,7,0.03176705175481021
1,10,8,0.03179999845501693
1,10,9,0.02325536806206462
1,10,10,0.03179998219399271
1,11,1,5.307696245033566e-9
1,11,2,1.4775857986751416e-8
1,11,3,1.2158187476525022e-9
1,11,4,4.9071841180233065e-9
1,11,5,4.39203301606417e-9
1,11,6,1.0106633137491733e-9
1,11,7,0.015380158695707566
1,11,8,0.03179999959600163
1,11,9,1.908540346692416e-9
1,11,10,1.2857256682180114e-8
1,12,1,0.01451451248176127
1,12,2,0.006863342395232984
1,12,3,0.015237367804615603
1,12,4,3.087867607129219e-10
1,12,5,1.0095603526537427e-9
1,12,6,0.030431416273705717
1,12,7,0.024559684149914864
1,12,8,0.031799999564190606
1,12,9,0.015187759912077256
1,12,10,0.01656995848843877
1,13,1,0.028736863020032345
1,13,2,3.95311109768641e-9
1,13,3,0.03014907528592734
1,13,4,0.031799999700550474
1,13,5,0.03179999920369635
1,13,6,0.022843790015716972
1,13,7,0.03179999878532592
1,13,8,3.9332316688337913e-10
1,13,9,0.030062985196897887
1,13,10,0.03179999201056897
1,14,1,0.03179999952185417
1,14,2,0.0033325529364763794
1,14,3,0.031799999294663255
1,14,4,0.03179999850752193
1,14,5,0.03179999950758236
1,14,6,0.03179999916374658
1,14,7,0.0317999963539486
1,14,8,1.0596244821908746e-10
1,14,9,0.031799999565321486
1,14,10,0.01198391710401945
1,15,1,0.029086872208831247
1,15,2,2.3676306246717973e-9
1,15,3,0.026270233975310954
1,15,4,0.031799999695370194
1,15,5,0.03179999945279721
1,15,6,0.021028764275409274
1,15,7,2.0300383549093968e-8
1,15,8,2.4554993182972784e-9
1,15,9,0.03179999964931948
1,15,10,2.9524144394295015e-9
1,16,1,0.03179999991842776
1,16,2,1.0123563894622863e-10
1,16,3,0.02425146528590893
1,16,4,0.03179999983711978
1,16,5,0.017268301785480326
1,16,6,0.008432157097044769
1,16,7,2.1276446810728524e-8
1,16,8,0.00759799449306552
1,16,9,0.030482699662989356
1,16,10,1.8398770813781095e-10
1,17,1,0.03179999988594136
1,17,2,1.6847228921974723e-7
1,17,3,0.025941965500755608
