bus_code,hour,scen,deficit
1,1,1,1.27173063746433e-11
1,1,2,1.0260309962761838e-11
1,1,3,1.2693908424399325e-11
1,1,4,1.2712397107206286e-11
1,1,5,1.290521509100806e-11
1,1,6,1.2287296180524265e-11
1,1,7,1.2719478248435223e-11
1,1,8,1.0161704810940364e-11
1,1,9,1.2708015195705968e-11
1,1,10,1.2707782742760187e-11
1,2,1,1.1621627271640733e-11
1,2,2,1.2641714064454135e-11
1,2,3,1.2652941194790657e-11
1,2,4,1.2768241325344931e-11
1,2,5,1.2647452529712666e-11
1,2,6,1.2646116792636164e-11
1,2,7,1.1421769779973445e-11
1,2,8,1.0969468389188108e-11
1,2,9,1.1471511240923604e-11
1,2,10,1.160066487315703e-11
1,3,1,1.1836021746036707e-11
1,3,2,1.1686693279777671e-11
1,3,3,1.269020652450159e-11
1,3,4,1.1939001870464594e-11
1,3,5,1.2274733313111241e-11
1,3,6,1.2697596446509252e-11
1,3,7,1.2186866099606064e-11
1,3,8,1.120021436706864e-11
1,3,9,1.2067156301975857e-11
1,3,10,1.2155321887918902e-11
1,4,1,1.2024374551611317e-11
1,4,2,1.1952466794085126e-11
1,4,3,1.1943678684955827e-11
1,4,4,1.2055606513072803e-11
1,4,5,1.2053330555872321e-11
1,4,6,1.2187219983195163e-11
1,4,7,1.2737172427890187e-11
1,4,8,1.142765743145091e-11
1,4,9,1.2022407375189559e-11
1,4,10,1.2723586073626336e-11
1,5,1,1.1230509577853098e-11
1,5,2,1.0894292412633177e-11
1,5,3,1.2726361631187899e-11
1,5,4,1.2849603325815195e-11
1,5,5,1.2727884718399807e-11
1,5,6,1.1222259233001353e-11
1,5,7,1.2832762630310413e-11
1,5,8,1.2695403756035617e-11
1,5,9,1.1118495013562324e-11
1,5,10,1.271876354236312e-11
1,6,1,1.2938435045573016e-11
1,6,2,9.472977957614148e-12
1,6,3,1.2956146572262739e-11
1,6,4,1.2952718758674209e-11
1,6,5,1.2770812185536329e-11
1,6,6,1.2944471883269415e-11
1,6,7,1.2282248135209173e-11
1,6,8,1.2761708356734403e-11
1,6,9,1.296746043877306e-11
1,6,10,1.0209857265186528e-11
1,7,1,1.277686983991444e-11
1,7,2,1.0212712620027986e-11
1,7,3,1.3290386152720046e-11
1,7,4,1.3292845990608981e-11
1,7,5,1.2605489568828787e-11
1,7,6,1.276394268057146e-11
1,7,7,1.0220702756358335e-11
1,7,8,1.3004906179725495e-11
1,7,9,1.3292662109920528e-11
1,7,10,1.0220404383920467e-11
1,8,1,1.2962034223740204e-11
1,8,2,1.0190067539772585e-11
1,8,3,1.296881005363737e-11
1,8,4,1.3132345905164655e-11
1,8,5,1.3062047971024171e-11
1,8,6,1.3130385667636801e-11
1,8,7,1.0493359653418466e-11
1,8,8,1.0156802482397254e-11
1,8,9,1.2977414282078215e-11
1,8,10,1.2998865872582144e-11
1,9,1,1.2588759895626467e-11
1,9,2,1.0321233451238143e-11
