circuit_code,hour,scen,losses
1,1,1,0.00011087904871834143
1,1,2,0.00039269717407104784
1,1,3,0.00011087904918743137
1,1,4,0.00011087904880234943
1,1,5,0.00011087904585269227
1,1,6,0.00011087906074690998
1,1,7,0.00011087904867077496
1,1,8,0.0030682647014557206
1,1,9,0.0001108790488131624
1,1,10,0.00011087904884403551
1,2,1,0.00011087909291222729
1,2,2,0.00011087904957657705
1,2,3,0.00011087904958570966
1,2,4,0.00011087904852693679
1,2,5,0.00011087904962827513
1,2,6,0.00011087904963663841
1,2,7,0.00011087910450600702
1,2,8,0.00011087904312038516
1,2,9,0.00011087910167332169
1,2,10,0.00011087909453184003
1,3,1,0.00011087907748402738
1,3,2,0.0001108790662016583
1,3,3,0.0001108790502598356
1,3,4,0.00011087907302584352
1,3,5,0.00011087906039292652
1,3,6,0.00011087905022854618
1,3,7,0.00011087906334469291
1,3,8,0.00011087903094836539
1,3,9,0.00011087906795082575
1,3,10,0.00011087906444589677
1,4,1,0.00011087907257065105
1,4,2,0.00011087907139689868
1,4,3,0.0001108790720997556
1,4,4,0.00011087906792500585
1,4,5,0.00011087906783902515
1,4,6,0.0001108790642055701
1,4,7,0.00011087904919501587
1,4,8,0.00011087902335781516
1,4,9,0.00011087907251425222
1,4,10,0.00011087904944143808
1,5,1,0.00011087913061064655
1,5,2,0.00011087918131493699
1,5,3,0.0001108790479141975
1,5,4,0.00011087904681355644
1,5,5,0.00011087904789329991
1,5,6,0.00011087913189189939
1,5,7,0.00011087904720708768
1,5,8,0.0001108790034420863
1,5,9,0.00011087914656638082
1,5,10,0.00011087901781015753
1,6,1,0.00011087904485815803
1,6,2,0.00011088475905292303
1,6,3,0.00011087904451838826
1,6,4,0.00011087904455575083
1,6,5,0.00011087904599516247
1,6,6,0.00011087904472830071
1,6,7,0.00011087927785785365
1,6,8,0.00011087901783177969
1,6,9,0.00011087904439303301
1,6,10,0.00011801284377603859
1,7,1,0.00011087905013934448
1,7,2,0.00047847355144959257
1,7,3,0.00011087903914648309
1,7,4,0.00011087903906913845
1,7,5,0.00011087905629193052
1,7,6,0.00011087904944890185
1,7,7,0.00020223450002226356
1,7,8,0.0001108790006142869
1,7,9,0.00011087903907160658
1,7,10,0.0006197764960366897
1,8,1,0.00011087904383430162
1,8,2,0.00031435533972554305
1,8,3,0.00011087904341997213
1,8,4,0.00011087904133514916
1,8,5,0.00011087904217655517
1,8,6,0.00011087904133065387
1,8,7,0.00011087945504993505
1,8,8,0.020217118716295526
1,8,9,0.00011087904316058508
1,8,10,0.00011087900012593069
1,9,1,0.00011087905171037466
1,9,2,0.0019164589636561824
1,9,3,0.00011087904859705468
1,9,4,0.0001108790485944682
1,9,5,0.0007855160562745984
1,9,6,0.00011087905845973096
1,9,7,0.0001108790527242547
1,9,8,0.00011087900709972277
1,9,9,0.00011087908306780374
1,9,10,0.0001108790533500755
1,10,1,0.00011087906588474125
1,10,2,0.00011087905932371461
