bus_code,hour,scen,powerConsumption
1,1,1,0.020999999987282695
1,1,2,0.02099999998973969
1,1,3,0.020999999987306093
1,1,4,0.020999999987287604
1,1,5,0.020999999987094786
1,1,6,0.020999999987712705
1,1,7,0.020999999987280523
1,1,8,0.020999999989838296
1,1,9,0.020999999987291986
1,1,10,0.02099999998729222
1,2,1,0.020999999988378374
1,2,2,0.020999999987358287
1,2,3,0.02099999998734706
1,2,4,0.02099999998723176
1,2,5,0.02099999998735255
1,2,6,0.020999999987353885
1,2,7,0.02099999998857823
1,2,8,0.020999999989030533
1,2,9,0.02099999998852849
1,2,10,0.020999999988399336
1,3,1,0.02099999998816398
1,3,2,0.020999999988313308
1,3,3,0.020999999987309795
1,3,4,0.020999999988061
1,3,5,0.020999999987725268
1,3,6,0.020999999987302405
1,3,7,0.020999999987813135
1,3,8,0.020999999988799787
1,3,9,0.020999999987932845
1,3,10,0.02099999998784468
1,4,1,0.020999999987975627
1,4,2,0.020999999988047535
1,4,3,0.020999999988056323
1,4,4,0.020999999987944395
1,4,5,0.02099999998794667
1,4,6,0.02099999998781278
1,4,7,0.02099999998726283
1,4,8,0.020999999988572344
1,4,9,0.020999999987977594
1,4,10,0.020999999987276415
1,5,1,0.02099999998876949
1,5,2,0.02099999998910571
1,5,3,0.02099999998727364
1,5,4,0.020999999987150398
1,5,5,0.020999999987272117
1,5,6,0.020999999988777742
1,5,7,0.02099999998716724
1,5,8,0.020999999987304598
1,5,9,0.020999999988881506
1,5,10,0.020999999987281238
1,6,1,0.020999999987061566
1,6,2,0.020999999990527023
1,6,3,0.020999999987043855
1,6,4,0.020999999987047283
1,6,5,0.02099999998722919
1,6,6,0.02099999998705553
1,6,7,0.020999999987717753
1,6,8,0.020999999987238293
1,6,9,0.02099999998703254
1,6,10,0.020999999989790144
1,7,1,0.02099999998722313
1,7,2,0.02099999998978729
1,7,3,0.020999999986709615
1,7,4,0.020999999986707155
1,7,5,0.020999999987394512
1,7,6,0.02099999998723606
1,7,7,0.0209999999897793
1,7,8,0.020999999986995095
1,7,9,0.02099999998670734
1,7,10,0.020999999989779597
1,8,1,0.020999999987037967
1,8,2,0.020999999989809934
1,8,3,0.02099999998703119
1,8,4,0.020999999986867655
1,8,5,0.020999999986937953
1,8,6,0.020999999986869616
1,8,7,0.02099999998950664
1,8,8,0.0209999999898432
1,8,9,0.020999999987022587
1,8,10,0.020999999987001135
1,9,1,0.02099999998741124
1,9,2,0.020999999989678768
1,9,3,0.020999999987392593
1,9,4,0.020999999987392392
1,9,5,0.020999999989787386
1,9,6,0.02099999998761379
1,9,7,0.020999999987437158
1,9,8,0.020999999987568647
1,9,9,0.020999999988055042
1,9,10,0.020999999987458672
1,10,1,0.020999999987853554
1,10,2,0.020999999987772168
1,10,3,0.020999999987859952
1,10,4,0.020999999987856358
1,10,5,0.020999999987687572
1,10,6,0.02099999998772342
1,10,7,0.020999999987878912
1,10,8,0.02099999998966804
1,10,9,0.02099999998785153
1,10,10,0.020999999987817368
1,11,1,0.020999999987990195
1,11,2,0.020999999988003948
1,11,3,0.02099999998798734
