bus_code,hour,scen,batStorage
1,1,1,6.442265096384681e-9
1,1,2,0.03179998882916837
1,1,3,5.746235869075189e-9
1,1,4,7.583916099285215e-9
1,1,5,8.891137548427963e-9
1,1,6,0.03179999878504226
1,1,7,8.461155331929149e-9
1,1,8,0.008137645805261731
1,1,9,0.03179999879631513
1,1,10,7.517031851145273e-9
1,2,1,0.031799933862731666
1,2,2,0.03179999056091859
1,2,3,0.005374031112231038
1,2,4,0.029808724295239414
1,2,5,4.446769794644456e-9
1,2,6,6.317557154575406e-7
1,2,7,4.7346779779873415e-9
1,2,8,0.009959780626941871
1,2,9,0.004481808765146285
1,2,10,4.004273946091764e-9
1,3,1,0.03179990120444189
1,3,2,1.4011642812005066e-8
1,3,3,0.024646589887566652
1,3,4,0.03179952909775427
1,3,5,0.031799995482420164
1,3,6,0.02297530024414269
1,3,7,0.0317999958121877
1,3,8,0.021519997080102004
1,3,9,0.021639362365456653
1,3,10,0.03179999380646822
1,4,1,0.03179999181158499
1,4,2,0.03179999950517105
1,4,3,0.03179998985700633
1,4,4,0.03179999245060218
1,4,5,1.2059251282341247e-9
1,4,6,0.031799988554387766
1,4,7,1.2193879227580444e-9
1,4,8,0.006353616943481692
1,4,9,0.03179998878741065
1,4,10,6.316462777356047e-10
1,5,1,0.0049159701122221955
1,5,2,1.7652718450468926e-9
1,5,3,1.0133769485171027e-8
1,5,4,1.6941062224350043e-8
1,5,5,0.03179999866436722
1,5,6,1.6516813222348082e-8
1,5,7,0.03179999882376943
1,5,8,0.01812653947024132
1,5,9,1.9708119869624515e-8
1,5,10,0.03179999276091263
1,6,1,0.0317999971348844
1,6,2,0.031799998963107125
1,6,3,4.728145444842639e-10
1,6,4,4.583839838215865e-10
1,6,5,3.4913555327756025e-10
1,6,6,0.03179999797446303
1,6,7,0.03179999734953095
1,6,8,0.03179999970942381
1,6,9,0.03179999787271941
1,6,10,0.03179999447771494
1,7,1,2.962042719530559e-9
1,7,2,1.2751736371593817e-9
1,7,3,0.031799999518323324
1,7,4,0.03179999951998959
1,7,5,0.03179999964252462
1,7,6,2.523465828827793e-9
1,7,7,2.276380339569092e-9
1,7,8,2.9146553292503914e-10
1,7,9,2.681220128248921e-9
1,7,10,2.3448739882818104e-9
1,8,1,4.0720569806731675e-10
1,8,2,0.03179999640788836
1,8,3,1.6905656011293136e-9
1,8,4,2.023621897208122e-9
1,8,5,0.031799995685877186
1,8,6,0.031799934060528216
1,8,7,3.4232995815637677e-10
1,8,8,0.0317999996724363
1,8,9,0.024808556288086668
1,8,10,0.031799999478606615
1,9,1,0.03179999952942863
1,9,2,2.018147450240739e-9
1,9,3,0.03179998682234529
1,9,4,0.03179998847170566
1,9,5,1.7514620027174005e-9
1,9,6,1.633839202403023e-9
1,9,7,0.03179999957253274
1,9,8,1.0383334532449664e-9
1,9,9,1.639255785499246e-9
1,9,10,1.270205145442485e-9
1,10,1,2.7319573798761922e-9
1,10,2,0.019382365891804185
1,10,3,0.031799973936445625
1,10,4,2.0391284565647522e-8
1,10,5,0.005981941324010528
1,10,6,0.004037413965379136
1,10,7,1.2442777222593449e-8
1,10,8,1.391622526554597e-8
1,10,9,3.9273009364975694e-8
1,10,10,8.610112556583518e-9
1,11,1,0.03179998417030574
