bus_code,hour,scen,batStorage
1,1,1,0.0318
1,2,1,0.0318
1,3,1,0.0
1,4,1,0.0159
1,5,1,0.0318
1,6,1,0.0
1,7,1,0.0318
1,8,1,0.0
1,9,1,0.0
1,10,1,0.0
1,11,1,0.028801399695734364
1,12,1,0.022870003118856726
1,13,1,0.013573590255200132
1,14,1,0.01835109107898853
1,15,1,0.0318
1,16,1,0.0
1,17,1,0.0318
1,18,1,0.025968166284507318
1,19,1,0.0318
1,20,1,0.028342363532433506
1,21,1,0.01834060678009036
1,22,1,0.01666366950196726
1,23,1,0.0007636695019672616
1,24,1,0.0
2,1,1,0.13140000000000002
2,2,1,0.13140000000000002
2,3,1,0.0
2,4,1,0.02243810328478501
2,5,1,0.13140000000000002
2,6,1,0.0
2,7,1,0.13140000000000002
2,8,1,0.0
2,9,1,0.0
2,10,1,0.0246153313759734
2,11,1,0.02395496208356086
2,12,1,0.0735695771787141
2,13,1,0.08288721336336632
2,14,1,0.08412034132528853
2,15,1,0.0835053308516566
2,16,1,0.0
2,17,1,0.13140000000000002
2,18,1,0.11624475090728362
2,19,1,0.10213248356434433
2,20,1,0.0806946974985418
2,21,1,0.05521816539578605
2,22,1,0.03858703772164242
2,23,1,0.02164668811324328
2,24,1,0.0
3,1,1,0.0
3,2,1,0.075
3,3,1,0.075
3,4,1,0.075
3,5,1,0.0
3,6,1,0.075
3,7,1,0.0
3,8,1,0.0
3,9,1,0.0
3,10,1,0.0
3,11,1,0.04781486552171917
3,12,1,0.0
3,13,1,0.075
3,14,1,0.05390422002640266
3,15,1,0.075
3,16,1,0.075
3,17,1,0.0699657366093088
3,18,1,0.06282610411369974
3,19,1,0.049746495930242295
3,20,1,0.04415433806616851
3,21,1,0.03282273586480704
3,22,1,0.024131071618205126
3,23,1,0.015011240312963003
3,24,1,0.0
4,1,1,0.0
4,2,1,0.0825
4,3,1,0.0825
4,4,1,0.0825
4,5,1,0.0
4,6,1,0.0825
4,7,1,0.0
4,8,1,0.0
4,9,1,0.0
4,10,1,0.01921514901122067
4,11,1,0.0
4,12,1,0.04348014407749322
4,13,1,0.03271103612591201
4,14,1,0.0825
4,15,1,0.0825
4,16,1,0.0825
4,17,1,0.06150000000000001
4,18,1,0.05109659009111328
4,19,1,0.042390627540782364
4,20,1,0.03185227112478237
4,21,1,0.02639176642720512
4,22,1,0.01908936493168578
4,23,1,0.008551008515685793
4,24,1,0.0
5,1,1,0.0
5,2,1,0.13140000000000002
5,3,1,0.0
5,4,1,0.0
5,5,1,0.13140000000000002
5,6,1,0.0
5,7,1,0.13140000000000002
5,8,1,0.0
5,9,1,0.066795019631156
5,10,1,0.10507814410418374
5,11,1,0.07669326420630992
5,12,1,0.08145509194855846
5,13,1,0.01788596472588158
5,14,1,0.0178211596263926
5,15,1,0.0
5,16,1,0.13140000000000002
5,17,1,0.12291737957806242
5,18,1,0.1274440281352587
5,19,1,0.12743673560627602
5,20,1,0.07586374219682662
5,21,1,0.048026174116022266
5,22,1,0.0227017575265816
5,23,1,0.03181799980354559
5,24,1,0.0
6,1,1,0.004007923145009397
6,2,1,0.0
6,3,1,0.0318
6,4,1,0.013705710991876742
6,5,1,0.0
6,6,1,0.0318
6,7,1,0.0
6,8,1,0.0318
6,9,1,0.01954576551467368
6,10,1,0.015610823845710425
6,11,1,0.012912362113329317
6,12,1,0.010188558008678355
6,13,1,0.021356859604153677
6,14,1,0.0318
6,15,1,0.0318
6,16,1,0.0318
6,17,1,0.0318
6,18,1,0.024280430400000004
6,19,1,0.023115774018725877
6,20,1,0.01864889890852451
6,21,1,0.016214088698072726
6,22,1,0.013671126065089578
6,23,1,0.00669583940803939
6,24,1,0.0
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0825
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0825
7,7,1,0.0
7,8,1,0.0825
7,9,1,0.0825
7,10,1,0.08054340431500036
7,11,1,0.07759727123228405
7,12,1,0.07179688676733063
7,13,1,0.06579115024494414
7,14,1,0.08032127569241092
7,15,1,0.07729197658207321
7,16,1,0.0825
7,17,1,0.07649856413709467
7,18,1,0.06449928413222505
7,19,1,0.05703442936198491
7,20,1,0.04203335246480591
7,21,1,0.03075255431186525
7,22,1,0.020254486298810652
7,23,1,0.011253050435905328
7,24,1,0.0
