bus_code,hour,scen,deficit
1,1,1,0.0
1,2,1,0.0
1,3,1,0.0
1,4,1,0.0
1,5,1,0.0
1,6,1,0.0
1,7,1,0.0
1,8,1,0.0
1,9,1,0.0
1,10,1,0.0
1,11,1,0.0
1,12,1,0.0
1,13,1,0.0
1,14,1,0.0
1,15,1,0.0
1,16,1,0.0
1,17,1,0.0
1,18,1,0.0
1,19,1,0.0
1,20,1,0.0
1,21,1,0.0
1,22,1,0.0
1,23,1,0.0
1,24,1,0.0
3,1,1,0.0
3,2,1,0.0
3,3,1,0.0
3,4,1,0.0
3,5,1,0.0
3,6,1,0.0
3,7,1,0.0
3,8,1,0.0
3,9,1,0.0
3,10,1,0.0
3,11,1,0.0
3,12,1,0.0
3,13,1,0.0
3,14,1,0.0
3,15,1,0.0
3,16,1,0.0
3,17,1,0.0
3,18,1,0.0
3,19,1,0.0
3,20,1,0.0
3,21,1,0.0
3,22,1,0.0
3,23,1,0.0
3,24,1,0.0
5,1,1,0.0
5,2,1,0.0
5,3,1,0.0
5,4,1,0.0
5,5,1,0.0
5,6,1,0.0
5,7,1,0.0
5,8,1,0.0
5,9,1,0.0
5,10,1,0.0
5,11,1,0.0
5,12,1,0.0
5,13,1,0.0
5,14,1,0.0
5,15,1,0.0
5,16,1,0.0
5,17,1,0.0
5,18,1,0.0
5,19,1,0.0
5,20,1,0.0
5,21,1,0.0
5,22,1,0.0
5,23,1,0.0
5,24,1,0.0
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0
7,7,1,0.0
7,8,1,0.0
7,9,1,0.0
7,10,1,0.0
7,11,1,0.0
7,12,1,0.0
7,13,1,0.0
7,14,1,0.0
7,15,1,0.0
7,16,1,0.0
7,17,1,0.0
7,18,1,0.0
7,19,1,0.0
7,20,1,0.0
7,21,1,0.0
7,22,1,0.0
7,23,1,0.0
7,24,1,0.0
8,1,1,0.0
8,2,1,0.0
8,3,1,0.0
8,4,1,0.0
8,5,1,0.0
8,6,1,0.0
