bus_code,hour,scen,powerBat
1,1,1,0.0
1,2,1,0.0
1,3,1,0.03180000000000001
1,4,1,-0.0159
1,5,1,-0.0159
1,6,1,0.0318
1,7,1,-0.0318
1,8,1,0.03180000000000001
1,9,1,0.0
1,10,1,0.0
1,11,1,-0.028801399695734364
1,12,1,0.005931396576877638
1,13,1,0.009296412863656595
1,14,1,-0.004777500823788399
1,15,1,-0.013448908921011471
1,16,1,0.03180000000000001
1,17,1,-0.0318
1,18,1,0.005831833715492684
1,19,1,-0.005831833715492684
1,20,1,0.003457636467566496
1,21,1,0.010001756752343148
1,22,1,0.0016769372781231025
1,23,1,0.015899999999999997
1,24,1,0.0007636695019672616
2,1,1,0.0
2,2,1,0.0
2,3,1,0.13140000000000002
2,4,1,-0.02243810328478501
2,5,1,-0.108961896715215
2,6,1,0.13140000000000002
2,7,1,-0.13140000000000002
2,8,1,0.13140000000000002
2,9,1,0.0
2,10,1,-0.0246153313759734
2,11,1,0.0006603692924125396
2,12,1,-0.04961461509515323
2,13,1,-0.009317636184652228
2,14,1,-0.001233127961922209
2,15,1,0.0006150104736319384
2,16,1,0.0835053308516566
2,17,1,-0.13140000000000002
2,18,1,0.0151552490927164
2,19,1,0.014112267342939286
2,20,1,0.02143778606580253
2,21,1,0.02547653210275575
2,22,1,0.016631127674143632
2,23,1,0.016940349608399137
2,24,1,0.02164668811324328
3,1,1,0.075
3,2,1,-0.075
3,3,1,0.0
3,4,1,0.0
3,5,1,0.075
3,6,1,-0.075
3,7,1,0.075
3,8,1,0.0
3,9,1,0.0
3,10,1,0.0
3,11,1,-0.04781486552171917
3,12,1,0.04781486552171917
3,13,1,-0.075
3,14,1,0.021095779973597337
3,15,1,-0.021095779973597337
3,16,1,0.0
3,17,1,0.005034263390691199
3,18,1,0.007139632495609061
3,19,1,0.013079608183457443
3,20,1,0.005592157864073785
3,21,1,0.011331602201361472
3,22,1,0.00869166424660191
3,23,1,0.009119831305242123
3,24,1,0.015011240312963003
4,1,1,0.0825
4,2,1,-0.08249999999999999
4,3,1,-2.9002408113987244e-18
4,4,1,-2.9002408113987244e-18
4,5,1,0.0825
4,6,1,-0.08249999999999999
4,7,1,0.0825
4,8,1,-2.9002408113987244e-18
4,9,1,-2.9002408113987244e-18
4,10,1,-0.01921514901122067
4,11,1,0.01921514901122067
4,12,1,-0.04348014407749322
4,13,1,0.010769107951581203
4,14,1,-0.04978896387408799
4,15,1,-2.9002408113987244e-18
4,16,1,-2.9002408113987244e-18
4,17,1,0.020999999999999994
4,18,1,0.01040340990888673
4,19,1,0.008705962550330919
4,20,1,0.010538356415999988
4,21,1,0.005460504697577253
4,22,1,0.007302401495519336
4,23,1,0.010538356415999988
4,24,1,0.008551008515685793
5,1,1,0.13140000000000002
5,2,1,-0.13140000000000002
5,3,1,0.13140000000000002
5,4,1,0.0
5,5,1,-0.13140000000000002
5,6,1,0.13140000000000002
5,7,1,-0.13140000000000002
5,8,1,0.13140000000000002
5,9,1,-0.066795019631156
5,10,1,-0.038283124473027744
5,11,1,0.02838487989787382
5,12,1,-0.004761827742248537
5,13,1,0.06356912722267688
5,14,1,6.480509948898067e-5
5,15,1,0.0178211596263926
5,16,1,-0.13140000000000002
5,17,1,0.008482620421937592
5,18,1,-0.004526648557196283
5,19,1,7.292528982683066e-6
5,20,1,0.0515729934094494
5,21,1,0.027837568080804356
5,22,1,0.025324416589440665
5,23,1,-0.00911624227696399
5,24,1,0.03181799980354559
6,1,1,0.027792076854990605
6,2,1,0.004007923145009398
6,3,1,-0.0318
6,4,1,0.01809428900812326
6,5,1,0.013705710991876745
6,6,1,-0.0318
6,7,1,0.0318
6,8,1,-0.0318
6,9,1,0.012254234485326322
6,10,1,0.0039349416689632545
6,11,1,0.002698461732381108
6,12,1,0.002723804104650961
6,13,1,-0.01116830159547532
6,14,1,-0.010443140395846325
6,15,1,-1.6466320494623599e-18
6,16,1,-1.6466320494623599e-18
6,17,1,-1.6466320494623599e-18
6,18,1,0.007519569599999996
6,19,1,0.0011646563812741238
6,20,1,0.004466875110201368
6,21,1,0.0024348102104517822
6,22,1,0.0025429626329831444
6,23,1,0.00697528665705019
6,24,1,0.00669583940803939
7,1,1,0.0825
7,2,1,-4.791665382617577e-18
7,3,1,-0.0825
7,4,1,0.0825
7,5,1,-1.3247595295057257e-18
7,6,1,-0.0825
7,7,1,0.0825
7,8,1,-0.0825
7,9,1,-4.790818349670323e-18
7,10,1,0.001956595684999644
7,11,1,0.0029461330827163226
7,12,1,0.00580038446495341
7,13,1,0.006005736522386482
7,14,1,-0.014530125447466789
7,15,1,0.003029299110337717
7,16,1,-0.005208023417926809
7,17,1,0.006001435862905327
7,18,1,0.011999280004869616
7,19,1,0.007464854770240146
7,20,1,0.015001076897178996
7,21,1,0.011280798152940662
7,22,1,0.010498068013054598
7,23,1,0.009001435862905326
7,24,1,0.011253050435905328
