bus_code,hour,scen,powerConsumption
1,1,1,0.021
1,2,1,0.021
1,3,1,0.021
1,4,1,0.021
1,5,1,0.021
1,6,1,0.021
1,7,1,0.021
1,8,1,0.021
1,9,1,0.021
1,10,1,0.021
1,11,1,0.021
1,12,1,0.021
1,13,1,0.021
1,14,1,0.021
1,15,1,0.021
1,16,1,0.021
1,17,1,0.021
1,18,1,0.021
1,19,1,0.021
1,20,1,0.021
1,21,1,0.021
1,22,1,0.021
1,23,1,0.021
1,24,1,0.021
3,1,1,0.0
3,2,1,0.0
3,3,1,0.0
3,4,1,0.0
3,5,1,0.0
3,6,1,0.0
3,7,1,0.0
3,8,1,0.0
3,9,1,0.0
3,10,1,0.0
3,11,1,0.0
3,12,1,0.0
3,13,1,0.0
3,14,1,0.0
3,15,1,0.0
3,16,1,0.0
3,17,1,0.0
3,18,1,0.0
3,19,1,0.0
3,20,1,0.0
3,21,1,0.0
3,22,1,0.0
3,23,1,0.0
3,24,1,0.0
5,1,1,0.045
5,2,1,0.045
5,3,1,0.045
5,4,1,0.045
5,5,1,0.045
5,6,1,0.045
5,7,1,0.045
5,8,1,0.045
5,9,1,0.045
5,10,1,0.045
5,11,1,0.045
5,12,1,0.045
5,13,1,0.045
5,14,1,0.045
5,15,1,0.045
5,16,1,0.045
5,17,1,0.045
5,18,1,0.045
5,19,1,0.045
5,20,1,0.045
5,21,1,0.045
5,22,1,0.045
5,23,1,0.045
5,24,1,0.045
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0
7,7,1,0.0
7,8,1,0.0
7,9,1,0.0
7,10,1,0.0
7,11,1,0.0
7,12,1,0.0
7,13,1,0.0
7,14,1,0.0
7,15,1,0.0
7,16,1,0.0
7,17,1,0.0
7,18,1,0.0
7,19,1,0.0
7,20,1,0.0
7,21,1,0.0
7,22,1,0.0
7,23,1,0.0
7,24,1,0.0
8,1,1,0.06
8,2,1,0.06
8,3,1,-0.07140000000000002
8,4,1,0.08243810328478501
8,5,1,0.168961896715215
8,6,1,-0.07140000000000002
8,7,1,0.19140000000000001
8,8,1,-0.07140000000000002
8,9,1,0.06
8,10,1,0.0846153313759734
8,11,1,0.05933963070758746
8,12,1,0.10961461509515323
8,13,1,0.06931763618465223
8,14,1,0.06123312796192221
8,15,1,0.05938498952636806
8,16,1,-0.023505330851656597
8,17,1,0.19140000000000001
8,18,1,0.0448447509072836
8,19,1,0.04588773265706071
8,20,1,0.03856221393419747
8,21,1,0.034523467897244246
8,22,1,0.043368872325856365
8,23,1,0.04305965039160086
8,24,1,0.03835331188675672
13,1,1,0.128
13,2,1,0.128
13,3,1,0.128
13,4,1,0.128
13,5,1,0.128
13,6,1,0.128
13,7,1,0.128
13,8,1,0.128
13,9,1,0.128
13,10,1,0.128
13,11,1,0.128
13,12,1,0.128
13,13,1,0.128
13,14,1,0.128
13,15,1,0.128
13,16,1,0.128
13,17,1,0.128
13,18,1,0.128
13,19,1,0.128
13,20,1,0.128
13,21,1,0.128
13,22,1,0.128
13,23,1,0.128
13,24,1,0.128
14,1,1,0.0
14,2,1,0.0
14,3,1,0.0
14,4,1,0.0
14,5,1,0.0
14,6,1,0.0
14,7,1,0.0
14,8,1,0.0
14,9,1,0.0
14,10,1,0.0
14,11,1,0.0
14,12,1,0.0
14,13,1,0.0
14,14,1,0.0
14,15,1,0.0
14,16,1,0.0
14,17,1,0.0
14,18,1,0.0
14,19,1,0.0
