bus_code,hour,scen,deficit
1,1,1,4.821832169654705e-11
1,2,1,4.6939369058307534e-11
1,3,1,4.8629118093446166e-11
1,4,1,4.832493086248668e-11
1,5,1,4.8538686958643495e-11
1,6,1,4.874550069144945e-11
1,7,1,4.672164738428464e-11
1,8,1,4.911169387833425e-11
1,9,1,4.7073147463327913e-11
1,10,1,4.705250425396379e-11
1,11,1,4.890145580138672e-11
1,12,1,4.8873745328581464e-11
1,13,1,4.7069511482922266e-11
1,14,1,4.8983428424520525e-11
1,15,1,4.7188121465868704e-11
1,16,1,4.903632708219696e-11
1,17,1,4.861621522023185e-11
1,18,1,4.688308422040599e-11
1,19,1,4.871345687940121e-11
1,20,1,4.798615324541622e-11
1,21,1,4.800061390031196e-11
1,22,1,4.8249335082850564e-11
1,23,1,4.850900583996953e-11
1,24,1,4.832979155766637e-11
3,1,1,0.0
3,2,1,0.0
3,3,1,0.0
3,4,1,1.6984871842318228e-11
3,5,1,1.125802659429631e-9
3,6,1,2.924895048384002e-11
3,7,1,3.3087164952316783e-10
3,8,1,0.0
3,9,1,1.541257121928652e-10
3,10,1,0.0
3,11,1,0.0
3,12,1,0.0
3,13,1,0.0
3,14,1,0.0
3,15,1,0.0
3,16,1,0.0
3,17,1,0.0
3,18,1,0.0
3,19,1,7.670983570573497e-10
3,20,1,0.0
3,21,1,0.0
3,22,1,0.0
3,23,1,0.0
3,24,1,2.2167283286744777e-10
5,1,1,1.0651556026086695e-10
5,2,1,3.882621793516172e-10
5,3,1,1.0486124468744862e-10
5,4,1,0.0
5,5,1,0.0
5,6,1,0.0
5,7,1,0.0
5,8,1,1.0888928647645457e-11
5,9,1,5.831495772379292e-10
5,10,1,3.4068132342968127e-10
5,11,1,0.0
5,12,1,0.0
5,13,1,0.0
5,14,1,0.0
5,15,1,4.683115770176549e-10
5,16,1,2.4969259992957404e-10
5,17,1,1.993789577880989e-10
5,18,1,0.0
5,19,1,0.0
5,20,1,0.0
5,21,1,0.0
5,22,1,2.8524405060181834e-12
5,23,1,0.0
5,24,1,5.276491188421772e-10
7,1,1,6.378407080287474e-9
7,2,1,0.0
7,3,1,0.0
7,4,1,5.535488400987276e-9
7,5,1,4.63811938855585e-9
7,6,1,1.7689328335457333e-9
7,7,1,1.3487306271819932e-9
7,8,1,1.824090878344009e-10
7,9,1,0.0
7,10,1,0.0
7,11,1,1.0250684967516577e-8
7,12,1,0.0
7,13,1,1.903333601838142e-9
7,14,1,2.3233979185022235e-9
7,15,1,0.0
7,16,1,8.151980535053838e-9
7,17,1,0.0
7,18,1,0.0
7,19,1,0.0
7,20,1,2.7649879608127037e-9
7,21,1,2.9739699591857516e-10
7,22,1,0.0
7,23,1,4.844011580740215e-9
7,24,1,1.8226909259677626e-8
8,1,1,0.0
8,2,1,2.843917823458497e-9
8,3,1,0.0
8,4,1,0.0
8,5,1,0.0
8,6,1,6.8770340255763784e-9
8,7,1,0.0
8,8,1,2.112260921727227e-10
8,9,1,7.49439169056565e-9
8,10,1,0.0
8,11,1,7.3478178541641626e-9
8,12,1,3.548011606735457e-10
8,13,1,0.0
8,14,1,0.0
8,15,1,8.326539735481475e-9
8,16,1,5.943673664354776e-9
8,17,1,6.048641698619406e-9
8,18,1,2.1025339247415786e-9
8,19,1,0.0
8,20,1,0.0
8,21,1,0.0
8,22,1,0.0
