circuit_code,hour,scen,flow
1,1,1,0.06611087931217068
1,2,1,0.0661108793982714
1,3,1,0.06611087985552393
1,4,1,0.06611087975719972
1,5,1,0.06611087975774968
1,6,1,0.06611087959028575
1,7,1,0.06611087946294505
1,8,1,0.06611087922506603
1,9,1,0.06611087934707444
1,10,1,0.0661108796769266
1,11,1,0.0661108797203191
1,12,1,0.06611087952447825
1,13,1,0.06611087943114452
1,14,1,0.06611087950976818
1,15,1,0.06611087989379678
1,16,1,0.06611087949666258
1,17,1,0.0661108793233081
1,18,1,0.06611087954223062
1,19,1,0.0661108794978106
1,20,1,0.06611087971684648
1,21,1,0.06611087903605595
1,22,1,0.06611087964338903
1,23,1,0.06611087983039367
1,24,1,0.06611087996261733
2,1,1,0.08770299458006064
2,2,1,0.08770299404112222
2,3,1,0.08770299459973241
2,4,1,0.08770299455583655
2,5,1,0.0877029928934176
2,6,1,0.08770299424081521
2,7,1,0.08770299473706793
2,8,1,0.08770299458300246
2,9,1,0.08770299323674155
2,10,1,0.08770299409886634
2,11,1,0.08770299497317359
2,12,1,0.08770299488159022
2,13,1,0.08770299421587331
2,14,1,0.08770299435898636
2,15,1,0.08770299389959593
2,16,1,0.08770299394678709
2,17,1,0.08770299476571379
2,18,1,0.08770299477552461
2,19,1,0.0877029939980832
2,20,1,0.08770299485338083
2,21,1,0.0877029950200056
2,22,1,0.08770299418351565
2,23,1,0.08770299403874779
2,24,1,0.08770299352699885
3,1,1,0.3051861167975367
3,2,1,0.3051861175305798
3,3,1,0.3051861238070272
3,4,1,0.3051861217388524
3,5,1,0.30518612394320555
3,6,1,0.30518612241826987
3,7,1,0.30518612036194387
3,8,1,0.30518611968655673
3,9,1,0.3051861219583429
3,10,1,0.30518612075409574
3,11,1,0.3051861173510273
3,12,1,0.3051861193072719
3,13,1,0.3051861218248977
3,14,1,0.3051861229441192
3,15,1,0.3051861186508645
3,16,1,0.30518611733788514
3,17,1,0.3051861234092413
3,18,1,0.30518611712529325
3,19,1,0.305186122509952
3,20,1,0.30518611745658974
3,21,1,0.30518612412347973
3,22,1,0.3051861204452188
3,23,1,0.30518612035797565
3,24,1,0.3051861226906291
4,1,1,3.0088494236539356e-10
4,2,1,3.2522360005669615e-10
4,3,1,5.413508917522769e-10
4,4,1,5.619550171742092e-10
4,5,1,2.9907808964245737e-10
4,6,1,5.619553286526835e-10
4,7,1,5.269291787397703e-10
4,8,1,5.238431355875337e-10
4,9,1,3.439683614629953e-10
4,10,1,3.2331490880816395e-10
4,11,1,5.452687626222507e-10
4,12,1,3.9374162713280706e-11
4,13,1,2.820389373588132e-10
4,14,1,8.065218906821375e-11
4,15,1,8.066604670030535e-11
4,16,1,3.216955627696252e-10
4,17,1,5.841609525133176e-11
4,18,1,5.472446120078631e-10
4,19,1,5.412020988003384e-10
4,20,1,2.783284573307591e-10
4,21,1,3.195614287247013e-10
4,22,1,2.9892117449214093e-10
4,23,1,5.665350056869913e-11
4,24,1,3.1998420613231977e-10
5,1,1,0.0874242265917565
5,2,1,0.0874242260228555
5,3,1,0.08742422672759341
5,4,1,0.0874242268865315
5,5,1,0.08742422660452498
5,6,1,0.08742422658825146
5,7,1,0.08742422738086875
5,8,1,0.08742422662542396
5,9,1,0.08742422591139067
5,10,1,0.08742422618503563
5,11,1,0.08742422705750039
5,12,1,0.08742422684933059
5,13,1,0.0874242266598176
5,14,1,0.08742422709114195
5,15,1,0.08742422641683092
5,16,1,0.08742422640740369
5,17,1,0.0874242264936953
5,18,1,0.08742422670247206
5,19,1,0.08742422710393984
5,20,1,0.08742422682712823
5,21,1,0.08742422721822624
5,22,1,0.08742422674085332
5,23,1,0.08742422678913545
5,24,1,0.08742422630987766
6,1,1,0.042064126608292604
6,2,1,0.042064126305447085
6,3,1,0.04206412675331947
6,4,1,0.04206412665824158
6,5,1,0.04206412625836409
6,6,1,0.04206412647624937
6,7,1,0.04206412693372586
6,8,1,0.04206412654192186
6,9,1,0.04206412639887448
6,10,1,0.04206412642788007
6,11,1,0.0420641268788679
6,12,1,0.04206412667602525
6,13,1,0.04206412646310482
6,14,1,0.042064126774924604
6,15,1,0.04206412678605455
6,16,1,0.04206412656884845
6,17,1,0.04206412660468912
6,18,1,0.042064126527294826
6,19,1,0.04206412643697767
6,20,1,0.042064126568767346
6,21,1,0.04206412656797641
6,22,1,0.04206412666190058
6,23,1,0.042064126455468726
6,24,1,0.04206412675790693
7,1,1,0.30444669575096717
7,2,1,0.30444668336038433
7,3,1,0.30444668873163705
