circuit_code,hour,scen,losses
1,1,1,0.00011087934637778498
1,2,1,0.00011087936692210935
1,3,1,0.00011087933802299437
1,4,1,0.00011087933652119944
1,5,1,0.00011087933744171577
1,6,1,0.00011087933650079498
1,7,1,0.00011087936943062674
1,8,1,0.0001108793486422878
1,9,1,0.00011087935494404863
1,10,1,0.0001108793565982411
1,11,1,0.00011087935573489424
1,12,1,0.00011087935454285525
1,13,1,0.00011087935563693598
1,14,1,0.00011087935570272699
1,15,1,0.00011087935632914369
1,16,1,0.00011087934612769598
1,17,1,0.00011087934549462136
1,18,1,0.00011087936756453985
1,19,1,0.00011087933396223651
1,20,1,0.0001108793356160886
1,21,1,0.0001108793351711449
1,22,1,0.00011087933577361123
1,23,1,0.00011087933673633484
1,24,1,0.00011087933674970247
2,1,1,0.00027876713354885
2,2,1,0.00027876715230615176
2,3,1,0.0002787671237758462
2,4,1,0.000278767124334912
2,5,1,0.00027876711561718853
2,6,1,0.0002787671198573792
2,7,1,0.00027876716014165533
2,8,1,0.000278767138984023
2,9,1,0.00027876713550822695
2,10,1,0.00027876714205909455
2,11,1,0.0002787671458576932
2,12,1,0.0002787671445958723
2,13,1,0.00027876714266286576
2,14,1,0.00027876713902925786
2,15,1,0.0002787671397142398
2,16,1,0.0002787671285299903
2,17,1,0.0002787671341437927
2,18,1,0.0002787671562261913
2,19,1,0.00027876712003962887
2,20,1,0.0002787671259936196
2,21,1,0.00027876712780799473
2,22,1,0.00027876712273776285
2,23,1,0.0002787671195929463
2,24,1,0.0002787671188098156
3,1,1,0.0007394274249765983
3,2,1,0.0007394274580909263
3,3,1,0.0007394274346736124
3,4,1,0.0007394274632763966
3,5,1,0.0007394274753210226
3,6,1,0.0007394274629566352
3,7,1,0.0007394274496127384
3,8,1,0.0007394274635364693
3,9,1,0.0007394274961208287
3,10,1,0.0007394274573297422
3,11,1,0.0007394274536472185
3,12,1,0.0007394274588026578
3,13,1,0.0007394274610570385
3,14,1,0.000739427443012455
3,15,1,0.0007394274464726032
3,16,1,0.0007394274564339192
3,17,1,0.0007394274543522567
3,18,1,0.0007394274443648375
3,19,1,0.0007394274596034742
3,20,1,0.0007394274690812638
3,21,1,0.0007394274931513276
3,22,1,0.0007394274762271226
3,23,1,0.000739427451921813
3,24,1,0.0007394274770868064
4,1,1,3.6390781367012335e-10
4,2,1,3.830782236055561e-10
4,3,1,3.541677560111318e-10
4,4,1,3.5368662413171307e-10
4,5,1,3.537840736821804e-10
4,6,1,3.543000960844021e-10
4,7,1,3.8660475287305635e-10
4,8,1,3.6798869835868655e-10
4,9,1,3.735130511080211e-10
4,10,1,3.7355551672943425e-10
4,11,1,3.7201779944716143e-10
4,12,1,3.720601426760577e-10
4,13,1,3.7356664488399534e-10
4,14,1,3.722477812401095e-10
4,15,1,3.733363253506269e-10
4,16,1,3.6394654781116606e-10
4,17,1,3.6329329962736647e-10
4,18,1,3.846210644078949e-10
4,19,1,3.5289155027666135e-10
