bus_code,hour,scen,powerBat
1,1,1,0.03179999688477904
1,2,1,-0.03179999371135639
1,3,1,0.007991541217025664
1,4,1,0.007991074215078598
1,5,1,0.00799107633292031
1,6,1,0.007826301731445204
1,7,1,-0.03179999384765787
1,8,1,0.03179998535865066
1,9,1,-0.012122603199476162
1,10,1,-0.019676869691374912
1,11,1,0.015633140973475717
1,12,1,0.014460875719823513
1,13,1,-0.025500419078171327
1,14,1,0.010669864533254792
1,15,1,-0.015263968984968585
1,16,1,0.0069362951313937625
1,17,1,0.024863692725223818
1,18,1,-0.03179999421489624
1,19,1,0.01037514197979969
1,20,1,0.010374776260005845
1,21,1,0.010374917683575409
1,22,1,0.0003262683615886691
1,23,1,0.0003457454636660772
1,24,1,3.1461085784570063e-6
2,1,1,0.1313999945727261
2,2,1,-0.1313999912006379
2,3,1,0.03296259401942124
2,4,1,0.032963010427850103
2,5,1,0.03296296364435756
2,6,1,0.03251142543730406
2,7,1,-0.131399993377918
2,8,1,0.13139998234442435
2,9,1,-0.046971829044044754
2,10,1,-0.06755615426549134
2,11,1,0.039036049779853005
2,12,1,0.03587244612560714
2,13,1,-0.07266621365140136
2,14,1,0.0256266153000706
2,15,1,-0.04474088972477343
2,16,1,0.04151784016237535
2,17,1,0.08988214455515792
2,18,1,-0.13139999189748314
2,19,1,0.03606788049672391
2,20,1,0.03606807116681148
2,21,1,0.036067613011479524
2,22,1,0.008747143994494323
2,23,1,0.008739260453270968
2,24,1,0.005710034787438284
3,1,1,4.416418052160064e-9
3,2,1,0.07499998700644533
3,3,1,-0.009209951617006695
3,4,1,-0.04690210344361575
3,5,1,-0.009210105147254039
3,6,1,-0.009677819723817219
3,7,1,0.07499998407876508
3,8,1,8.711864630758022e-10
3,9,1,-0.02764402279835571
3,10,1,-0.04735596631980015
3,11,1,0.03915504732362435
3,12,1,0.03584493764242669
3,13,1,-0.07499997831616813
3,14,1,0.07499997587048349
3,15,1,-0.07499998659846226
3,16,1,6.499381423330508e-8
3,17,1,-6.367875129975609e-8
3,18,1,0.07499998565463065
3,19,1,-0.05631527074412052
3,20,1,0.028702498558505433
3,21,1,0.027612736291235312
3,22,1,-0.004901766202229393
3,23,1,0.004901123620990049
3,24,1,6.871298426913697e-7
4,1,1,3.6730261115106865e-9
4,2,1,0.08249997824774877
4,3,1,-0.020625128938932938
4,4,1,-0.02062460893450021
4,5,1,-0.020624898578760223
4,6,1,-0.020625291387033166
4,7,1,0.08249994168578995
4,8,1,-1.0508655820529178e-9
4,9,1,-0.04125048454374796
4,10,1,-0.04124949169919471
4,11,1,0.04124995443805897
4,12,1,0.04124995435515853
4,13,1,-0.06609792175818788
4,14,1,0.04272926765631853
4,15,1,-0.05913127040840371
4,16,1,6.59065583080709e-8
4,17,1,-6.616189619779167e-8
4,18,1,0.08249998424921154
4,19,1,-9.239598154517359e-5
4,20,1,2.762238863251998e-6
4,21,1,8.9593002230208e-5
4,22,1,-6.678605370708662e-5
4,23,1,6.607910596553856e-5
4,24,1,7.578196681221061e-7
5,1,1,0.1313999963733218
5,2,1,-4.735948577749838e-10
5,3,1,-0.1313999943483451
5,4,1,0.1313999969445834
5,5,1,-0.06790917102673587
5,6,1,-0.06349082309820138
5,7,1,0.1313999903345459
5,8,1,-0.13139997991296512
5,9,1,0.053733132792429625
5,10,1,0.07766683872588881
5,11,1,-0.06719340398964499
5,12,1,-0.06420656791249689
5,13,1,0.1313999724443814
5,14,1,-0.13139996768310078
5,15,1,0.13139997005532367
5,16,1,-0.06658777849494324
5,17,1,-0.0648122061554682
5,18,1,0.1313999905029691
5,19,1,-0.13139999365984956
5,20,1,0.06949839656030975
5,21,1,0.06190160064592544
5,22,1,-0.13139999707950864
5,23,1,0.1313999969926689
5,24,1,-5.697911288626845e-9
6,1,1,3.047723149420477e-8
6,2,1,0.03179990952257247
6,3,1,-0.0013027234074620454
6,4,1,-0.01850350911556839
6,5,1,-0.0061404525322317285
6,6,1,-0.005853172328977356
6,7,1,0.031799618427169815
6,8,1,-0.01209406286799809
6,9,1,0.007488944526424374
6,10,1,0.004604958152514896
6,11,1,-0.014966464984176336
6,12,1,-0.014861160679610286
6,13,1,0.006243866907076491
6,14,1,-0.008214642164954773
6,15,1,0.00878830838776391
6,16,1,-0.007903153959190747
6,17,1,-0.0008862120510809285
6,18,1,0.03179982047493309
6,19,1,-1.3132493006245971e-8
6,20,1,-0.006201368134249506
6,21,1,-0.007419019637672046
6,22,1,0.013618968130390763
6,23,1,-0.006125984852574734
6,24,1,0.006127511941457223
7,1,1,5.648045495641901e-9
7,2,1,0.08249998285494628
7,3,1,-0.004839623529246228
7,4,1,-0.04540535838518548
7,5,1,-0.016275726460422225
7,6,1,-0.015979259484464253
7,7,1,0.08249983669582764
7,8,1,-0.02445047189886403
7,9,1,0.011356461837621352
7,10,1,0.012868681790438796
7,11,1,-0.026665949301990004
7,12,1,-0.026847529024484014
7,13,1,0.01072272245906069
7,14,1,-0.01539080113076622
7,15,1,0.011774977798251804
7,16,1,-0.018176627021133384
7,17,1,-0.017691303959666255
7,18,1,0.08249996145010452
7,19,1,-2.935767568282288e-9
7,20,1,-0.015457102083865656
7,21,1,-0.01720684570713891
7,22,1,0.03266374077656446
7,23,1,-0.01406082557588121
7,24,1,0.014061050243281052
