bus_code,hour,scen,powerConsumption
1,1,1,0.02099999995178168
1,2,1,0.020999999953060632
1,3,1,0.020999999951370883
1,4,1,0.02099999995167507
1,5,1,0.020999999951461314
1,6,1,0.0209999999512545
1,7,1,0.020999999953278354
1,8,1,0.020999999950888307
1,9,1,0.020999999952926854
1,10,1,0.020999999952947497
1,11,1,0.020999999951098546
1,12,1,0.020999999951126256
1,13,1,0.02099999995293049
1,14,1,0.020999999951016573
1,15,1,0.02099999995281188
1,16,1,0.020999999950963674
1,17,1,0.020999999951383786
1,18,1,0.020999999953116917
1,19,1,0.020999999951286544
1,20,1,0.020999999952013848
1,21,1,0.020999999951999387
1,22,1,0.020999999951750666
1,23,1,0.020999999951490995
1,24,1,0.02099999995167021
3,1,1,0.0
3,2,1,0.0
3,3,1,0.0
3,4,1,-1.6984871842318228e-11
3,5,1,-1.125802659429631e-9
3,6,1,-2.924895048384002e-11
3,7,1,-3.3087164952316783e-10
3,8,1,0.0
3,9,1,-1.541257121928652e-10
3,10,1,0.0
3,11,1,0.0
3,12,1,0.0
3,13,1,0.0
3,14,1,0.0
3,15,1,0.0
3,16,1,0.0
3,17,1,0.0
3,18,1,0.0
3,19,1,-7.670983570573497e-10
3,20,1,0.0
3,21,1,0.0
3,22,1,0.0
3,23,1,0.0
3,24,1,-2.2167283286744777e-10
5,1,1,0.04499999989348444
5,2,1,0.04499999961173782
5,3,1,0.044999999895138754
5,4,1,0.045
5,5,1,0.045
5,6,1,0.045
5,7,1,0.045
5,8,1,0.04499999998911107
5,9,1,0.04499999941685042
5,10,1,0.044999999659318675
5,11,1,0.045
5,12,1,0.045
5,13,1,0.045
5,14,1,0.045
5,15,1,0.04499999953168842
5,16,1,0.0449999997503074
5,17,1,0.04499999980062104
5,18,1,0.045
5,19,1,0.045
5,20,1,0.045
5,21,1,0.045
5,22,1,0.04499999999714756
5,23,1,0.045
5,24,1,0.04499999947235088
7,1,1,-6.378407080287474e-9
7,2,1,0.0
7,3,1,0.0
7,4,1,-5.535488400987276e-9
7,5,1,-4.63811938855585e-9
7,6,1,-1.7689328335457333e-9
7,7,1,-1.3487306271819932e-9
7,8,1,-1.824090878344009e-10
7,9,1,0.0
7,10,1,0.0
7,11,1,-1.0250684967516577e-8
7,12,1,0.0
7,13,1,-1.903333601838142e-9
7,14,1,-2.3233979185022235e-9
7,15,1,0.0
7,16,1,-8.151980535053838e-9
7,17,1,0.0
7,18,1,0.0
7,19,1,0.0
7,20,1,-2.7649879608127037e-9
7,21,1,-2.9739699591857516e-10
7,22,1,0.0
7,23,1,-4.844011580740215e-9
7,24,1,-1.8226909259677626e-8
8,1,1,-0.07139999457272611
8,2,1,0.19139998835672006
8,3,1,0.027037405980578758
8,4,1,0.027036989572149894
8,5,1,0.02703703635564244
8,6,1,0.027488567685661915
8,7,1,0.191399993377918
8,8,1,-0.07139998255565044
8,9,1,0.10697182154965307
8,10,1,0.12755615426549133
8,11,1,0.02096394287232914
8,12,1,0.0241275535195917
8,13,1,0.13266621365140135
8,14,1,0.0343733846999294
8,15,1,0.10474088139823369
8,16,1,0.018482153893950984
8,17,1,-0.029882150603799618
8,18,1,0.1913999897949492
8,19,1,0.02393211950327609
8,20,1,0.023931928833188516
8,21,1,0.023932386988520474
8,22,1,0.05125285600550568
8,23,1,0.051260729036801435
8,24,1,0.05428996516429247
13,1,1,0.128
13,2,1,0.128
13,3,1,0.12799999530932543
13,4,1,0.12799999574670493
13,5,1,0.12799999047341898
13,6,1,0.128
13,7,1,0.1279999914797109
13,8,1,0.128
13,9,1,0.128
13,10,1,0.1279999861342603
13,11,1,0.128
13,12,1,0.1279999930393805
13,13,1,0.12799999091047834
13,14,1,0.128
13,15,1,0.12799998914806532
13,16,1,0.128
13,17,1,0.128
13,18,1,0.128
13,19,1,0.12799998517787725
13,20,1,0.12799999681312565
13,21,1,0.128
13,22,1,0.12799998722957767
13,23,1,0.128
13,24,1,0.1279999971828601
14,1,1,-4.812499778048516e-11
14,2,1,-4.579374113689148e-11
14,3,1,-4.860927229078027e-11
14,4,1,-4.830637899500086e-11
14,5,1,-4.852905550791956e-11
14,6,1,-4.869887280730959e-11
14,7,1,-4.582986572200212e-11
14,8,1,-4.8364735315268376e-11
14,9,1,-4.623530333848105e-11
14,10,1,-4.623066491932529e-11
14,11,1,-4.804108924972898e-11
14,12,1,-4.801172321341693e-11
14,13,1,-4.6174353722061757e-11
14,14,1,-4.8115021040993397e-11
14,15,1,-4.6149355389275144e-11
14,16,1,-4.8323236726104474e-11
14,17,1,-4.8492827368869596e-11
14,18,1,-4.586341163723706e-11
14,19,1,-4.8703818630815e-11
14,20,1,-4.799120390903499e-11
14,21,1,-4.800069792933421e-11
14,22,1,-4.8250000015709576e-11
14,23,1,-4.843884271814926e-11
14,24,1,-4.830921590516267e-11
15,1,1,0.04199999959209657
15,2,1,0.042
15,3,1,0.041999998704700114
15,4,1,0.041999999785742224
15,5,1,0.042
15,6,1,0.0419999992697835
15,7,1,0.042
15,8,1,0.04199999922570527
15,9,1,0.041999998514175636
15,10,1,0.041999999617832205
15,11,1,0.04199999910855558
15,12,1,0.042
15,13,1,0.042
15,14,1,0.04199999924899183
15,15,1,0.04199999917558224
15,16,1,0.04199999991445014
15,17,1,0.04199999910381434
15,18,1,0.042
15,19,1,0.04199999946380639
15,20,1,0.042
15,21,1,0.042
15,22,1,0.042
15,23,1,0.042
15,24,1,0.04199999958481257
18,1,1,0.0849999999507698
18,2,1,0.08499999995145875
18,3,1,0.08499999995042375
18,4,1,0.08499999995107416
