Hourly Profile Dashboard

Step,bus85,bus18,bus114,bus60
1,0.580000,0.580000,0.000000,0.000000,
2,0.560000,0.560000,0.000000,0.000000,
3,0.540000,0.540000,0.000000,0.000000,
4,0.520000,0.520000,0.000000,0.000000,
5,0.500000,0.500000,0.000000,0.000000,
6,0.480000,0.480000,0.000000,0.000000,
7,0.470000,0.470000,0.100000,0.100000,
8,0.510000,0.510000,0.270000,0.270000,
9,0.500000,0.500000,0.430000,0.430000,
10,0.480000,0.480000,0.540000,0.540000,
11,0.450000,0.450000,0.610000,0.610000,
12,0.420000,0.420000,0.640000,0.640000,
13,0.400000,0.400000,0.620000,0.620000,
14,0.400000,0.400000,0.550000,0.550000,
15,0.390000,0.390000,0.450000,0.450000,
16,0.400000,0.400000,0.300000,0.300000,
17,0.390000,0.390000,0.140000,0.140000,
18,0.390000,0.390000,0.010000,0.010000,
19,0.400000,0.400000,0.000000,0.000000,
20,0.440000,0.440000,0.000000,0.000000,
21,0.500000,0.500000,0.000000,0.000000,
22,0.560000,0.560000,0.000000,0.000000,
23,0.580000,0.580000,0.000000,0.000000,
24,0.590000,0.590000,0.000000,0.000000,
