Monthly Profile Dashboard

Step,bus85,bus18,bus114,bus60
1,0.340000,0.340000,0.180000,0.180000,
2,0.220000,0.220000,0.160000,0.160000,
3,0.250000,0.250000,0.160000,0.160000,
4,0.270000,0.270000,0.150000,0.150000,
5,0.460000,0.460000,0.180000,0.180000,
6,0.490000,0.490000,0.190000,0.190000,
7,0.620000,0.620000,0.200000,0.200000,
8,0.730000,0.730000,0.220000,0.220000,
9,0.670000,0.670000,0.230000,0.230000,
10,0.680000,0.680000,0.240000,0.240000,
11,0.550000,0.550000,0.230000,0.230000,
12,0.420000,0.420000,0.200000,0.200000,
