codes,2,4
hours,bus85,bus18
1/2017,0.3701,0.3701
1/2017,0.3493,0.3493
1/2017,0.3222,0.3222
1/2017,0.3058,0.3058
1/2017,0.3031,0.3031
1/2017,0.3031,0.3031
1/2017,0.3098,0.3098
1/2017,0.3507,0.3507
1/2017,0.3731,0.3731
1/2017,0.3837,0.3837
1/2017,0.3776,0.3776
1/2017,0.3656,0.3656
1/2017,0.3611,0.3611
1/2017,0.3746,0.3746
1/2017,0.3853,0.3853
1/2017,0.3656,0.3656
1/2017,0.3306,0.3306
1/2017,0.2952,0.2952
1/2017,0.2810,0.2810
1/2017,0.2991,0.2991
1/2017,0.3071,0.3071
1/2017,0.3264,0.3264
1/2017,0.3222,0.3222
1/2017,0.3278,0.3278
1/2017,0.3278,0.3278
1/2017,0.3005,0.3005
1/2017,0.2874,0.2874
1/2017,0.3044,0.3044
1/2017,0.3581,0.3581
1/2017,0.3914,0.3914
1/2017,0.3807,0.3807
1/2017,0.3656,0.3656
1/2017,0.3464,0.3464
1/2017,0.3464,0.3464
1/2017,0.3566,0.3566
1/2017,0.3716,0.3716
1/2017,0.3701,0.3701
1/2017,0.3566,0.3566
1/2017,0.3377,0.3377
1/2017,0.3349,0.3349
1/2017,0.3126,0.3126
1/2017,0.2710,0.2710
1/2017,0.2311,0.2311
1/2017,0.2266,0.2266
1/2017,0.2413,0.2413
1/2017,0.2747,0.2747
1/2017,0.2952,0.2952
1/2017,0.2900,0.2900
1/2017,0.2760,0.2760
1/2017,0.2710,0.2710
1/2017,0.2810,0.2810
1/2017,0.2913,0.2913
1/2017,0.2913,0.2913
1/2017,0.2887,0.2887
1/2017,0.3005,0.3005
1/2017,0.2926,0.2926
1/2017,0.2637,0.2637
1/2017,0.2424,0.2424
1/2017,0.2277,0.2277
1/2017,0.2189,0.2189
1/2017,0.2179,0.2179
1/2017,0.2146,0.2146
1/2017,0.2114,0.2114
1/2017,0.2050,0.2050
1/2017,0.1915,0.1915
1/2017,0.1725,0.1725
1/2017,0.1582,0.1582
1/2017,0.1794,0.1794
1/2017,0.2029,0.2029
1/2017,0.1988,0.1988
1/2017,0.1946,0.1946
1/2017,0.2008,0.2008
1/2017,0.2071,0.2071
1/2017,0.2125,0.2125
1/2017,0.2168,0.2168
1/2017,0.2255,0.2255
1/2017,0.2413,0.2413
1/2017,0.2541,0.2541
1/2017,0.2613,0.2613
1/2017,0.2861,0.2861
1/2017,0.2939,0.2939
1/2017,0.2965,0.2965
1/2017,0.2952,0.2952
1/2017,0.3005,0.3005
1/2017,0.3320,0.3320
1/2017,0.3686,0.3686
1/2017,0.3868,0.3868
1/2017,0.3807,0.3807
1/2017,0.3746,0.3746
1/2017,0.3686,0.3686
1/2017,0.3581,0.3581
1/2017,0.3596,0.3596
1/2017,0.3537,0.3537
1/2017,0.3507,0.3507
1/2017,0.3306,0.3306
1/2017,0.2991,0.2991
1/2017,0.2874,0.2874
1/2017,0.2673,0.2673
1/2017,0.2698,0.2698
1/2017,0.2874,0.2874
1/2017,0.2965,0.2965
1/2017,0.2874,0.2874
1/2017,0.2723,0.2723
1/2017,0.2661,0.2661
1/2017,0.2356,0.2356
1/2017,0.2157,0.2157
1/2017,0.1936,0.1936
1/2017,0.1420,0.1420
1/2017,0.1248,0.1248
1/2017,0.1336,0.1336
1/2017,0.1360,0.1360
1/2017,0.1344,0.1344
1/2017,0.1464,0.1464
1/2017,0.1677,0.1677
1/2017,0.1834,0.1834
1/2017,0.1967,0.1967
1/2017,0.2125,0.2125
1/2017,0.2424,0.2424
1/2017,0.2823,0.2823
1/2017,0.3126,0.3126
1/2017,0.3278,0.3278
1/2017,0.3522,0.3522
1/2017,0.3992,0.3992
1/2017,0.4836,0.4836
1/2017,0.5191,0.5191
1/2017,0.5345,0.5345
1/2017,0.5899,0.5899
1/2017,0.7128,0.7128
1/2017,0.6988,0.6988
1/2017,0.6408,0.6408
1/2017,0.5742,0.5742
1/2017,0.5140,0.5140
1/2017,0.4802,0.4802
1/2017,0.4769,0.4769
1/2017,0.4936,0.4936
1/2017,0.5038,0.5038
1/2017,0.5259,0.5259
1/2017,0.5157,0.5157
1/2017,0.4852,0.4852
1/2017,0.5242,0.5242
1/2017,0.5934,0.5934
1/2017,0.6847,0.6847
1/2017,0.7510,0.7510
1/2017,0.7631,0.7631
1/2017,0.7665,0.7665
1/2017,0.7215,0.7215
1/2017,0.6847,0.6847
1/2017,0.6689,0.6689
1/2017,0.6566,0.6566
1/2017,0.6302,0.6302
1/2017,0.5899,0.5899
1/2017,0.6302,0.6302
1/2017,0.5777,0.5777
1/2017,0.5191,0.5191
1/2017,0.4936,0.4936
1/2017,0.5089,0.5089
1/2017,0.5690,0.5690
1/2017,0.6267,0.6267
1/2017,0.6443,0.6443
1/2017,0.6531,0.6531
1/2017,0.6109,0.6109
1/2017,0.5174,0.5174
1/2017,0.4245,0.4245
1/2017,0.4023,0.4023
1/2017,0.4390,0.4390
1/2017,0.4472,0.4472
1/2017,0.4165,0.4165
1/2017,0.3992,0.3992
1/2017,0.3961,0.3961
1/2017,0.3853,0.3853
1/2017,0.3656,0.3656
1/2017,0.3596,0.3596
1/2017,0.3581,0.3581
1/2017,0.3420,0.3420
1/2017,0.3626,0.3626
1/2017,0.3837,0.3837
1/2017,0.3822,0.3822
1/2017,0.3581,0.3581
1/2017,0.3420,0.3420
1/2017,0.3377,0.3377
1/2017,0.3420,0.3420
1/2017,0.3420,0.3420
1/2017,0.3392,0.3392
1/2017,0.3449,0.3449
1/2017,0.3581,0.3581
1/2017,0.3552,0.3552
1/2017,0.3392,0.3392
1/2017,0.3406,0.3406
1/2017,0.3552,0.3552
1/2017,0.3507,0.3507
1/2017,0.3420,0.3420
1/2017,0.3320,0.3320
1/2017,0.3180,0.3180
1/2017,0.3085,0.3085
1/2017,0.2978,0.2978
1/2017,0.2900,0.2900
1/2017,0.2952,0.2952
1/2017,0.3071,0.3071
1/2017,0.3167,0.3167
1/2017,0.3222,0.3222
1/2017,0.3139,0.3139
1/2017,0.3236,0.3236
1/2017,0.3464,0.3464
1/2017,0.3611,0.3611
1/2017,0.3961,0.3961
1/2017,0.4521,0.4521
1/2017,0.4702,0.4702
1/2017,0.4455,0.4455
1/2017,0.4023,0.4023
1/2017,0.3377,0.3377
1/2017,0.3292,0.3292
1/2017,0.4023,0.4023
1/2017,0.4886,0.4886
1/2017,0.5586,0.5586
1/2017,0.5551,0.5551
1/2017,0.5140,0.5140
1/2017,0.4554,0.4554
1/2017,0.3716,0.3716
1/2017,0.3349,0.3349
1/2017,0.2861,0.2861
1/2017,0.1905,0.1905
1/2017,0.1036,0.1036
1/2017,0.0181,0.0181
1/2017,0.0000,0.0000
1/2017,0.0430,0.0430
1/2017,0.1196,0.1196
1/2017,0.2413,0.2413
1/2017,0.3278,0.3278
1/2017,0.3153,0.3153
1/2017,0.2029,0.2029
1/2017,0.1067,0.1067
1/2017,0.0634,0.0634
1/2017,0.0200,0.0200
1/2017,0.0240,0.0240
1/2017,0.0484,0.0484
1/2017,0.0607,0.0607
1/2017,0.0620,0.0620
1/2017,0.0706,0.0706
1/2017,0.1160,0.1160
1/2017,0.2135,0.2135
1/2017,0.2661,0.2661
1/2017,0.2991,0.2991
1/2017,0.3071,0.3071
1/2017,0.2772,0.2772
1/2017,0.2541,0.2541
1/2017,0.2157,0.2157
1/2017,0.1563,0.1563
1/2017,0.1545,0.1545
1/2017,0.1582,0.1582
1/2017,0.1745,0.1745
1/2017,0.1905,0.1905
1/2017,0.2008,0.2008
1/2017,0.2114,0.2114
1/2017,0.2233,0.2233
1/2017,0.2061,0.2061
1/2017,0.1834,0.1834
1/2017,0.1490,0.1490
1/2017,0.1508,0.1508
1/2017,0.1967,0.1967
1/2017,0.2367,0.2367
1/2017,0.2686,0.2686
1/2017,0.2848,0.2848
1/2017,0.3112,0.3112
1/2017,0.3126,0.3126
1/2017,0.2723,0.2723
1/2017,0.2613,0.2613
1/2017,0.2861,0.2861
1/2017,0.3044,0.3044
1/2017,0.3005,0.3005
1/2017,0.2785,0.2785
1/2017,0.2189,0.2189
1/2017,0.2093,0.2093
1/2017,0.2082,0.2082
1/2017,0.2093,0.2093
1/2017,0.2061,0.2061
1/2017,0.2019,0.2019
1/2017,0.1844,0.1844
1/2017,0.1706,0.1706
1/2017,0.1677,0.1677
1/2017,0.1824,0.1824
1/2017,0.1946,0.1946
1/2017,0.1905,0.1905
1/2017,0.1926,0.1926
1/2017,0.1998,0.1998
1/2017,0.2244,0.2244
1/2017,0.2565,0.2565
1/2017,0.2710,0.2710
1/2017,0.2772,0.2772
1/2017,0.2673,0.2673
1/2017,0.2613,0.2613
1/2017,0.2686,0.2686
1/2017,0.2686,0.2686
1/2017,0.2735,0.2735
1/2017,0.2723,0.2723
1/2017,0.1998,0.1998
1/2017,0.2244,0.2244
1/2017,0.2179,0.2179
1/2017,0.1946,0.1946
1/2017,0.1755,0.1755
